Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;40,170.25;42,193.50;2,023.25;4,904.00
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;38,818.25;41,342.25;2,524.00;3,976.50
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;37,847.75;40,899.25;3,051.50;3,082.75
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;37,123.25;40,216.25;3,093.00;3,408.25
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;36,753.75;40,034.00;3,280.25;3,341.50
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;37,051.25;40,512.75;3,461.50;3,326.50
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;36,725.50;40,383.75;3,658.25;3,353.75
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;37,321.00;40,162.00;2,841.00;3,747.75
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;37,984.25;40,758.00;2,773.75;3,356.50
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;39,952.00;43,642.25;3,690.25;3,062.75
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;42,309.25;46,119.75;3,810.50;2,181.50
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;44,829.25;48,232.00;3,402.75;2,853.25
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;45,824.00;48,755.00;2,931.00;4,349.75
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;45,251.75;48,032.75;2,781.00;5,836.50
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;44,904.50;46,003.50;1,099.00;8,892.50
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;44,952.25;45,455.75;503.50;12,283.00
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;46,881.25;47,007.25;126.00;15,187.50
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;50,120.50;50,132.00;11.50;17,679.00
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;50,199.50;50,208.50;9.00;18,671.50
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;49,118.25;49,156.25;38.00;18,121.25
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;47,071.75;47,162.00;90.25;16,927.50
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;45,149.00;45,321.50;172.50;16,124.25
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;43,664.25;44,521.25;857.00;16,140.00
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;41,057.25;42,759.00;1,701.75;15,462.75
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;38,390.00;40,043.00;1,653.00;13,921.75
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;37,078.00;39,408.50;2,330.50;13,394.50
