Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;10,860.41;1,244.45;-1,212.76;1,798.65;0.00;3,547.00;0.00;1,271.00;-436.00;269.25;0.00;507.00;0.00;2,016.00;-327.75;0.00;-1,192.74;1,721.00;0.00;1,399.25;0.00;256.06;0.00
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;10,537.30;1,272.46;-1,494.21;1,932.11;0.00;3,518.25;0.00;1,220.00;-459.00;212.75;0.00;507.00;0.00;1,980.75;-341.00;0.00;-1,409.74;1,728.00;0.00;1,401.25;0.00;468.67;0.00
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;11,008.23;1,325.24;-1,407.20;1,993.76;0.00;3,415.25;0.00;1,056.00;-493.00;166.25;0.00;507.00;0.00;1,824.50;-294.50;0.00;-1,081.33;1,608.00;0.00;1,401.50;0.00;986.75;0.00
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;10,737.53;1,232.18;-1,318.30;1,940.13;0.00;3,501.00;0.00;872.00;-594.00;181.00;0.00;507.00;0.00;1,562.25;-279.75;0.00;-730.56;1,469.00;0.00;1,401.25;0.00;994.33;0.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;10,321.74;1,021.79;-1,111.59;1,966.60;0.00;3,424.25;0.00;700.00;-678.00;214.75;0.00;507.00;0.00;1,499.50;-241.75;0.00;-512.88;1,459.00;0.00;1,401.25;0.00;671.82;0.00
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;10,653.54;1,319.68;-900.15;2,034.75;0.00;2,918.00;0.00;781.00;-589.00;251.75;0.00;507.00;0.00;1,432.25;-239.00;0.00;-400.64;1,498.00;0.00;1,401.25;0.00;638.66;0.00
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;10,326.14;1,251.57;-1,075.30;1,845.45;0.00;3,014.50;0.00;709.00;-596.00;180.75;0.00;507.00;0.00;1,353.75;-234.00;0.00;-630.16;1,604.00;0.00;1,401.25;0.00;994.33;0.00
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;11,256.42;1,142.15;-910.06;1,744.99;0.00;3,281.25;0.00;734.00;-574.00;192.00;0.00;507.00;0.00;1,469.50;-118.00;0.00;-400.22;1,786.00;0.00;1,401.00;0.00;1,000.82;0.00
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;11,258.56;1,304.03;-785.29;1,781.86;0.00;3,231.00;0.00;637.00;-573.00;185.75;0.00;507.00;0.00;1,565.50;-118.00;0.00;-534.61;1,683.00;0.00;1,401.25;0.00;973.07;0.00
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;10,851.74;1,192.39;-104.50;1,639.95;0.00;3,498.00;0.00;370.00;-590.00;242.50;0.00;507.00;0.00;1,415.50;-107.00;0.00;-280.72;1,223.00;0.00;1,401.25;0.00;444.37;0.00
