Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;52,069.80;35,215.75;5,262.75;29,953.00;0.00;16,854.05
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;50,745.32;34,737.75;5,068.00;29,669.75;0.00;16,007.57
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;50,574.16;34,483.75;4,932.25;29,551.50;0.00;16,090.41
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;49,344.13;34,045.00;4,762.00;29,283.00;0.00;15,299.13
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;48,517.03;33,671.75;4,571.25;29,100.50;0.00;14,845.28
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;48,636.55;33,479.75;4,357.75;29,122.00;0.00;15,156.80
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;48,977.41;33,747.25;4,198.00;29,549.25;0.00;15,230.16
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;50,189.85;33,912.00;4,144.25;29,767.75;0.00;16,277.85
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;54,318.55;34,773.50;4,166.75;29,971.50;635.25;19,545.05
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;57,979.36;37,707.75;4,234.00;29,984.00;3,489.75;20,271.61
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;61,084.58;40,712.00;4,225.50;29,954.25;6,532.25;20,372.58
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;63,552.43;42,455.00;4,236.75;30,128.25;8,090.00;21,097.43
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;64,208.08;42,554.75;4,246.25;30,268.25;8,040.25;21,653.33
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;61,870.28;41,099.00;4,279.50;29,971.00;6,848.50;20,771.28
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;57,614.56;37,971.00;4,295.25;29,102.75;4,573.00;19,643.56
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;53,536.09;34,006.25;4,224.00;28,061.25;1,721.00;19,529.84
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;52,115.33;31,298.25;4,015.25;27,168.25;114.75;20,817.08
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;53,384.66;31,199.25;4,336.00;26,863.25;0.00;22,185.41
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;54,726.88;31,199.25;4,521.00;26,678.25;0.00;23,527.63
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;55,508.05;30,735.50;4,528.00;26,207.50;0.00;24,772.55
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;53,147.14;29,883.25;4,417.50;25,465.75;0.00;23,263.89
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;50,525.27;28,417.00;4,250.25;24,166.75;0.00;22,108.27
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;47,818.38;26,556.00;3,988.25;22,567.75;0.00;21,262.38
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;45,278.04;24,730.50;3,580.25;21,150.25;0.00;20,547.54
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;44,297.20;23,956.25;3,676.75;20,279.50;0.00;20,340.95
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;43,341.18;23,108.25;3,701.00;19,407.25;0.00;20,232.93
